TomorrowWorld (Atlanta),"Atlanta, GA",2016-09-26,2016-09-28,https://soundcloud.com/tm-radio-mixes/sets/tomorrowworld-2015,http://www.earmilk.com/wp-content/uploads/logo.jpg,past,"Adventure Club, Benny Benassi, DJ Snake, Dvbbs, Ferry Corstein, Kaskade, Showtek, Steve Angello, Tchami, Tiesto, Afrojack, Bassnectar, Bingo Players, Borgore, Dimitri Vegas & Like Mike, Flux Pavilion, Hardwell, Paul Van Dyk, Pete Tong, Armin Van Buuren, The Chainsmokers, David Guetta, Laidback Luke, Martin Garrix, Thomas Jack, Jamie Jones, Guy Gerber, Rudimental",http://www.tomorrowworld.com/tickets
TomorrowLand (Belgium),"Boom, Belgium",2016-07-22,2016-07-24,https://soundcloud.com/tm-radio-mixes/sets/tomorrowland-2015-full-sets,http://ultrasonora.com/wp-content/uploads/2015/05/Tomorrowland-2016-646x330.jpg,past,"Alesso, Avicii, David Guetta, Dyro, Nicky Romero, Oliver Heldens, Romero Blanco, Steve Aoki, Ummet Ozcan, W&W, Armin Van Buuren, Axwell & Ingrosso, Blasterjaxx, Deorro, Dillon Francis, Dimitri Vegas & Like Mike, Martin Garrix, Otto Knows, R3hab, Martin Solveig, Afrojack, Arty, Dannic, Dvbbs, Hardwell, Nervo, Chuckie, Steve Angello, Tiesto, Markus Schulz",http://www.tomorrowland.com/en/home
Ultra Miami,"Miami, FL",2016-03-18,2016-03-20,https://soundcloud.com/ultra-2015-live-sets/sets/ultra-2015-live-sets,http://edmmaniac.com/wp-content/uploads/2014/03/ultra-logo.jpg,upcoming,"Afrojack,Armin Van Buuren,Avicii,Carl Cox,David Guetta,Dubfire,Eric Prydz,Hardwell,Kaskade,Knife Party,Kygo,Marco Carola,Martin Garrix,Miike Snow,Nero,DJ Snake,Tiesto,Zedd,AlunaGeorge,Fedde Legrand,Carnage,Icona Pop, Dvbbs,Galantis,Kshmr,Laidback Luke,Robin Schulz,Vicetone,W&W,The Chainsmokers",https://ultramusicfestival.com/tickets/miami/
EDC Vegas,"Las Vegas, NV",2016-06-17,2016-06-29,https://soundcloud.com/livesets2015/sets/edc-las-vegas-2015-live-sets,https://pbs.twimg.com/media/B-UWN_iIcAAU3mr.jpg,past,"3lau,Above & Beyond,Afrojack,Alesso,Armin Van Buuren,Arty,ATB,Audien,Avicii,Bassnectar,Benny Benassi,Bingo Players,Carnage,Calvin Harris,Chuckie,Dada Life,Danny Avila,Dash Berlin,Datsik,Deorro,Dimitri Vegas & Like Mike,DJ Snake,Dyro,Dzeko & Torres,EDX,Eric Prydz,Fatboy Slim,Ferry Corstein,Firebeatz,Flux Pavilion,Galantis,Hardwell,Hook N Sling,Kiesza,Krewella,Laidback Luke,Mako,Markus Schulz,Martin Garrix,Martin Solveig,Moti,Nicky Romero,Oliver Heldens,Sander Van Doorn,Showtek,Sunnery James & Ryan Marciano,Tiesto,Thomas Gold, Showtek,Steve Angello,Tommy Trash",https://edclasvegas.frontgatetickets.com/event/1t8gr13soxt9d19h?_ga=1.220957656.1923933675.1451332560
EDC New York,"New York, NY",2016-05-14,2016-05-15,https://soundcloud.com/livesets2015/sets/edc-new-york-2015-live-sets,http://www.billboard.com/files/media/edc-ny-2015-billboard-poster.jpg,past,"Afrojack, Andy C, Armin Van Buuren, Arty, Bassnectar, Benny Benassi, Blasterjaxx, Calvin Harris, Carl Cox, Carnage, Chuckie, Datsik, Dirty Audio, DJ Snake, Dubfire, Eric Prydz, Firebeatz, Flux Pavilion, Hardwell, Jack Beats, Kaskade, Knife Party, Krewella, Laidback Luke, Luciano, Martin Garrix, Martin Solveig, Nicky Romero, Seven Lions, Sunnery James & Ryan Marciano, Tchami, Tiesto, W&W",https://edcnewyork.frontgatetickets.com/?_ga=1.260013514.1394817980.1451335641
Electric Zoo ,"New York, NY",2016-09-02,2016-09-04,https://soundcloud.com/livesets2015/sets/electric-zoo-2015-new-york,https://i1.sndcdn.com/artworks-000128565907-ul34er-t500x500.jpg,past,"Zeds Dead, Borgore, 3lau, Audien, Don Diablo, Pierce Fulton, Galantis, Madeon, Cashmere Cat, Above & Beyond, Adventure Club, Nervo, Dirty South, TJR, Borgeous, Excision, Headhunterz, Markus Schulz, Ferry Corstein, Get Real, Alesso, Dvbbs, Oliver Heldens, Ummet Ozcan, Bassjackers, EDX, Robin Schulz, Thomas Jack, JackLNDN, Pete Tong",http://electriczoofestival.com/
Electric Forest,"Rothbury, MI",2016-06-23,2016-06-26,,http://www.electricforestfestival.com/wp-content/themes/electricforest/images/logo-efMain3.png,past,"Bassnectar, Skrillex, Kaskade, Borgeous, Brodinski, Carl Cox, Carnage, Datsik, Dubfire, Electron, Flux Pavilion, Galantis, Gramatik, Odesza, Paul Oakenfold, Pete Tong",http://www.electricforestfestival.com/ticket-information/how-to-visit-the-forest/
Mysteryland,"Bethel Woods, NY",2016-06-10,2016-06-13,,http://i0.wp.com/edmidentity.com/wp-content/uploads/2015/03/mLand.png?resize=296%2C278,past,"Porter Robinson, Kygo Madeon, Robin Schulz, Empire of the Sun, Claptone, Matador, Gramatik, Maya Jane Coles, Diplo, Dillon Francis, Netsky, Classixx, The M Machine, Adam Beyer, Bro Safari, TJR, The Martinez Brothers, Bakermat",http://www.mysteryland.us/en/tickets/
Beyond Wonderland SoCal,"San Manuel Amphitheater\n San Bernandino, CA",2016-03-18,2016-03-19,,http://cdn-insomniac.s3.amazonaws.com/beyond_wonderland_socal_2015_discovery_project_mix_cloud_r02v02_500x500.jpg,past,"Aly & Fila, Astrix, Carl Cox, Chuckie, Dillon Francis, Firebeatz, GTA, Kidnap Kid, Maya Jane Coles, Sunnery James & Ryan Marciano, Tchami, Tiesto, Adam Beyer, Andy C, Art Department, Arty, Benny Benassi, Knife Party, Showtek, Umek",http://socal.beyondwonderland.com/tickets/
Beyond Wonderland Bay Area,"Mountain View, CA",2016-09-26,2016-09-27,,https://i.ytimg.com/vi/U3sCflGogTQ/maxresdefault.jpg,past,"Arty, Audien, Bingo Players, Calvin Harris, DJ Snake, Firebeatz, Flux Pavilion, Kidnap Kid, Kill the Noise, Knife Party, Markus Schulz, Showtek, Tiesto, Ummet Ozcan",http://bayarea.beyondwonderland.com/tickets/
